LOG : TIME : 1698767168568 	 UUID : 1b4a7385-740b-43db-a7a3-461665035ef0 	 -> GET	undefined	/user 
LOG : TIME : 1698827689078 	 UUID : d159c5fd-cad5-44ee-bd9c-7f3d77ded64c 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698827694104 	 UUID : 62083938-65e1-4d6b-b594-d14813789cb8 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698827766261 	 UUID : 3b47d90d-9852-4c6e-932b-15ce5003cc80 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698827773491 	 UUID : 51c38560-d47f-4a71-a917-d02a087b7422 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698827815564 	 UUID : a6e5ccd3-5168-41f5-a4f8-3a041804e829 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698827821843 	 UUID : 1c783daa-15a3-4cd5-937d-5535aa437869 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698827880367 	 UUID : 570b81b8-c253-41b5-bc06-57c25e7846f9 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698827888001 	 UUID : f9712fd4-c23e-4739-9f87-f59403141211 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698827943517 	 UUID : d082a570-478b-4a4d-9e8c-88657bd6937d 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698827950003 	 UUID : 65037915-bd98-4cc9-983f-18866d991cb4 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698828007599 	 UUID : 9c9a7d91-2e14-4fa4-b82c-f2b81084cb8c 	 -> GET	undefined	/user/login 
LOG : TIME : 1698828101781 	 UUID : 2a9110fe-7c27-4f0e-a5cf-3e4f1e94a1a8 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698828104761 	 UUID : 4fa5c6ba-82a4-4fa8-ae3f-cb1496cf3714 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698828108906 	 UUID : c4b3c30f-a7f2-4ff3-8dca-688497534bc4 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698828113721 	 UUID : 9e8657be-45be-4774-9908-15b8a60a220c 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698828189765 	 UUID : 31d11645-4058-4390-a6b0-4e561aae428f 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698828374859 	 UUID : 3946ba8c-3512-48a6-8a8e-1a757923aba8 	 -> GET	undefined	/ 
LOG : TIME : 1698828377398 	 UUID : 6e540a13-88f0-44ee-997c-2f2dbd8b8f8b 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698828383882 	 UUID : c47e76f2-2065-4c0f-a019-a6dd14c324b1 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698828417658 	 UUID : b7618429-f579-4a4a-957c-773142b66568 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698828433986 	 UUID : b6da3f9d-d6c1-417a-889a-693363f518b4 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698828484731 	 UUID : 6a3b4ed7-da7f-451d-8ea2-7a1a2f04fca6 	 -> GET	undefined	/user/login 
LOG : TIME : 1698828486775 	 UUID : 8c827280-bd9c-4dc6-b0fc-70f9eb4868ed 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698828492010 	 UUID : 79cd3fb6-23fd-4a74-8bfe-2e98b4fd71e2 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698828533006 	 UUID : aa1e39f6-127f-44e6-954b-4a4663db8017 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698828561197 	 UUID : a9ff5e75-3101-47ec-b573-22e31e10630d 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698828566066 	 UUID : 5c1f0e1f-d030-4c89-8fff-8aacca066df8 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698828614394 	 UUID : 986cb9ff-af89-41c1-beea-b478700f0fbf 	 -> GET	undefined	/user 
LOG : TIME : 1698828656348 	 UUID : 4eb961ab-dcc9-495b-8052-e39c41006e84 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698828691772 	 UUID : 9390878e-1a64-430a-9587-b7f06c2fd06a 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698828714721 	 UUID : 30ddb410-b453-448f-a35f-32f9187a166a 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698828715324 	 UUID : e0370a1d-3589-41dd-b6e9-db4ffe134bf2 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698828721273 	 UUID : 3910503c-490f-40cf-bd81-8d189a36173a 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698828936704 	 UUID : 71ff5b9c-f9de-4296-9dd6-dedabdd34377 	 -> GET	undefined	/user 
